Report,CountIfs,Acronym,Description
SROCC,2,GRD,"Gravity, Rotation, and Deformation"
SROCC,1,GSP,Gross State Product
SROCC,6,GWP,Global Warming Potential
SROCC,2,HAB,Harmful Algal Blooms
SROCC,4,HFC,Hydrofluorocarbons
SROCC,1,HSM,Historical Simulation
SROCC,2,IAEA,International Atomic Energy Agency
SROCC,1,ICC,Inuit Circumpolar Council
SROCC,2,ICM,Integrated Coastal Management
SROCC,2,ICZM,Integrated Coastal Zone Management
SROCC,3,IK,Indigenous Knowledge
SROCC,3,IMO,International Maritime Organization
SROCC,1,INGO,International Non-Governmental Organisation
SROCC,1,IOC-UNESCO,"Intergovernmental Oceanographic Commission of the United Nations Educational, Scientific and Cultural Organization"
SROCC,4,IOD,Indian Ocean Dipole
SROCC,5,IPBES,Intergovernmental Platform on Biodiversity and Ecosystem Services assessments
SROCC,4,IPO,Interdecadal Pacific Oscillation
SROCC,1,IRC,Inuvialuit Regional Corporation
SROCC,1,ISR,Inuvialuit Settlement Region
SROCC,2,ITCZ,Intertropical Convergence Zone
SROCC,4,ITF,Indonesia Throughflow
SROCC,3,IWRM,Integrated Water Resource Management
SROCC,4,JJA,"June, July, August"
SROCC,3,L&D,Loss and Damage
SROCC,4,LDC,Least Developed Countries
SROCC,1,LDOC,Labile Dissolved Organic Carbon
SROCC,2,LECZ,Low Elevation Coastal Zone
SROCC,3,LGM,Last Glacial Maximum
SROCC,4,LIG,Last Interglacial
SROCC,4,LK,Local Knowledge
SROCC,1,LLIC,Low-Lying Islands and Coasts
SROCC,2,LMMA,Locally Managed Marine Protected Area
SROCC,5,LUC,Land-Use Change
SROCC,2,LULUC,Land Use and Land-Use Change
SROCC,2,M&E,Monitoring and Evaluation
SROCC,1,MAGT,Mean Annual Ground Temperature
SROCC,2,MCDA,Multi-Criteria Decision Analysis
SROCC,3,MHW,Marine Heatwave
SROCC,2,MICI,Marine Ice Cliff Instability
SROCC,2,MIP,Model Intercomparison Project
SROCC,4,MISI,Marine Ice Sheet Instability
SROCC,2,MOC,Meridional Overturning Circulation
SROCC,3,MPA,Marine Protected Area
SROCC,3,mPWP,mid-Pliocene Warm Period
SROCC,5,MRV,"Measurement, Reporting and Verification"
SROCC,2,MSL,Mean Sea Level
SROCC,2,MSY,Maximum Sustainable Yield
SROCC,2,NADW,North Atlantic Deep Water
SROCC,3,NAO,North Atlantic Oscillation
SROCC,5,NAP,National Adaption Plan
SROCC,2,NCEP,National Centers for Environmental Prediction
SROCC,3,NCP,Nature's Contribution to People
SROCC,6,NDC,Nationally Determined Contributions
SROCC,5,NGO,Non-Governmental Organisation
SROCC,5,NOAA,National Oceanic and Atmospheric Administration
SROCC,5,NPP,Net Primary Production
SROCC,3,NPV,Net Present Value
SROCC,5,OA,Ocean Acidification
SROCC,2,OHC,Ocean Heat Content
SROCC,2,OLS,Ordinary Least Square
SROCC,2,OMZ,Oxygen Minimum Zone
SROCC,1,PCBs,Polychlorinated Biphenyls
SROCC,3,PDO,Pacific Decadal Oscillation
SROCC,2,PFC,Perfluorocarbons
SROCC,1,PIG,Pine Island Glacier
SROCC,1,PISM,Parallel Ice Sheet Model
SROCC,5,PM,Particulate Matter
SROCC,2,POC,Particulate Organic Carbon
SROCC,2,POP,Persistent Organic Pollutants
SROCC,1,ppmv,parts per million volume
SROCC,1,PSU,Practical Salinity Unit
SROCC,6,RCM,Regional Climate Model
SROCC,5,RCP,Representative Concentration Pathway
SROCC,2,RDM,Robust Decision Making
SROCC,1,RDOC,Refractory Dissolved Organic Carbon
SROCC,4,RFC,Reason for Concern
SROCC,1,RGI,Randolph Glacier Inventory
SROCC,1,RITC,Rapid Intensification of Tropical Cyclones
SROCC,3,RSL,Relative Sea Level
SROCC,3,RSLR,Relative Sea Level Rise
SROCC,4,SAM,Southern Annular Mode
SROCC,1,SAMOC,South Atlantic Meridional Overturning Circulation
SROCC,4,SD,Sustainable Development
SROCC,2,SDGs,Sustainable Development Goals
SROCC,2,SDM,Structured Decision Making
SROCC,2,SDP,Sustainable Development Pathway
SROCC,2,SH,Southern Hemisphere
SROCC,7,SIDS,Small Island Developing States
SROCC,6,SLCF,Short-Lived Climate Forcers
SROCC,2,SLE,Sea Level Equivalent
SROCC,2,SLP,Sea Level Pressure
SROCC,5,SLR,Sea Level Rise
SROCC,2,SMB,Surface Mass Balance
SROCC,1,SPG,Subpolar Gyre
SROCC,6,SPM,Summary for Policymakers
SROCC,2,SR15,IPCC Special Report on Global Warming of 1.5°C
SROCC,7,SRCCL,IPCC Special Report on Climate Change and Land
SROCC,5,SRES,IPCC Special Report on Emissions Scenarios
SROCC,4,SREX,IPCC Special Report on Managing the Risks of Extreme Events and Disasters to Advance Climate Change Adaptation
SROCC,6,SRM,Solar Radiation Modification
SROCC,7,SROCC,IPCC Special Report on the Ocean and Cryosphere in a Changing Climate
SROCC,2,SRTM,Shuttle Radar Topography Mission
SROCC,2,SSPs,Shared Socioeconomic Pathways
SROCC,5,SST,Sea Surface Temperature
SROCC,3,SWE,Snow Water Equivalent
SROCC,3,TC,Tropical Cyclone
SROCC,1,THC,Thermohaline Circulation
SROCC,2,ToE,Time of Emergence
SROCC,1,UNCLOS,United Nations Convention on the Law of the Sea
SROCC,6,UNEP,United Nations Environment Programme
SROCC,7,UNFCCC,United Nations Framework Convention on Climate Change
SROCC,1,UQ,Uncertainty Quantification
SROCC,2,VLM,Vertical Land Motion
SROCC,4,WAIS,West Antarctic Ice Sheet
SROCC,2,WBC,Western Boundary Current
SROCC,5,WGI,IPCC Working Group I
SROCC,5,WGII,IPCC Working Group II
SROCC,1,WGMS,World Glacial Monitoring Service
SYR,6,AFOLU,"Agriculture, Forestry and Other Land Use"
SYR,7,AR5,Fifth Assessment Report
SYR,6,AR6,Sixth Assessment Report
SYR,7,BECCS,Bioenergy with Carbon Dioxide Capture and Storage
SYR,6,CCS,Carbon Capture and Storage
SYR,5,CCU,Carbon Capture and Utilization
SYR,7,CDR,Carbon Dioxide Removal
SYR,5,CH4,Methane
SYR,3,CID,Climatic impact-driver
SYR,6,CMIP5,Coupled Model Intercomparison Project Phase 5
SYR,7,CMIP6,Coupled Model Intercomparison Project Phase 6
SYR,5,CO2,Carbon Dioxide
SYR,3,CO2-eq,Carbon Dioxide Equivalent
SYR,3,CRD,Climate Resilient Development
SYR,1,CO2-FFI,CO2 from Fossil Fuel combustion and Industrial processes
SYR,1,CO2-LULUCF,"CO2 from Land Use, Land-Use Change and Forestry"
SYR,1,CSB,Cross-Section Box
SYR,5,DACCS,Direct Air Carbon Capture and Storage
SYR,5,DRM,Disaster Risk Management
SYR,5,EbA,Ecosystem-based Adaptation
SYR,4,ECS,Equilibrium climate sensitivity
SYR,3,ES,Executive Summary
SYR,4,EV,Electric Vehicle
SYR,4,EWS,Early Warning System
SYR,5,FaIR,Finite Amplitude Impulse Response simple climate model
SYR,5,FAO,Food and Agriculture Organization of the United Nations
SYR,2,FFI,Fossil-Fuel combustion and Industrial processes
SYR,1,F-gases,Fluorinated gases
SYR,7,GDP,Gross Domestic Product
SYR,6,GHG,Greenhouse Gas
SYR,3,Gt,Gigatonnes
SYR,2,GW,Gigawatt
SYR,3,GWL,Global Warming Level
SYR,2,GWP100,Global Warming Potential over a 100 year time horizon
SYR,2,HFCs,Hydrofluorocarbons
SYR,5,IEA,International Energy Agency
SYR,1,IEA-STEPS,International Energy Agency Stated Policies Scenario
SYR,2,IMP,Illustrative Mitigation Pathway
SYR,2,IMP-LD,Illustrative Mitigation Pathway - Low Demand
SYR,2,IMP-NEG,Illustrative Mitigation Pathway - NEGative emissions deployment
SYR,2,IMP-SP,Illustrative Mitigation Pathway - Shifting development Pathways
SYR,2,IMP-REN,Illustrative Mitigation Pathway - Heavy reliance on RENewables
SYR,1,IP-ModAct,Illustrative Pathway Moderate Action
SYR,6,IPCC,Intergovernmental Panel on Climate Change
SYR,4,kWh,Kilowatt hour
SYR,3,LCOE,Levelized Cost of Energy
SYR,4,LDC,Least Developed Countries
SYR,1,Li-on,Lithium-ion
SYR,4,LK,Local Knowledge
SYR,6,LULUCF,"Land Use, Land-Use Change and Forestry"
SYR,3,MAGICC,Model for the Assessment of Greenhouse Gas Induced Climate Change
SYR,2,MWh,Megawatt hour
SYR,5,N2O,Nitrous oxide
SYR,6,NDC,Nationally Determined Contribution
SYR,3,NF3,Nitrogen trifluoride
SYR,3,O3,Ozone
SYR,3,PFCs,Perfluorocarbons
SYR,3,ppb,parts per billion
SYR,4,PPP,Purchasing Power Parity
SYR,2,ppm,parts per million
SYR,3,PV,Photovoltaic
SYR,3,R&D,Research and Development
SYR,1,RCB,Remaining Carbon Budget
SYR,2,RCPs,"Representative Concentration Pathways (e.g. RCP2.6, pathway for which radiative forcing by 2100 is limited to 2.6 Wm-2)"
SYR,1,RFCs,Reasons for Concern
SYR,5,SDG,Sustainable Development Goal
SYR,2,SDPs,Shifting Development Pathways
SYR,4,SF6,Sulphur Hexafluoride
SYR,7,SIDS,Small Island Developing States
SYR,6,SLCF,Short-Lived Climate Forcer
SYR,6,SPM,Summary For Policymakers
SYR,5,SR1.5,Special Report on Global Warming of 1.5°C
SYR,7,SRCCL,Special Report on Climate Change and Land
SYR,6,SRM,Solar Radiation Modification
SYR,7,SROCC,Special Report on the Ocean and Cryosphere in a Changing Climate
SYR,5,SSP,Shared Socioeconomic Pathway
SYR,3,SYR,Synthesis Report
SYR,1,tCO2-eq,Tonne of carbon dioxide equivalent
SYR,1,tCO2-FFI,Tonne of carbon dioxide from Fossil Fuel combustion and Industrial processes
SYR,4,TS,Technical Summary
SYR,7,UNFCCC,United Framework Convention on Climate Change
SYR,5,USD,United States Dollar
SYR,3,WG,Working Group
SYR,5,WGI,IPCC Working Group I
SYR,5,WGII,IPCC Working Group II
SYR,4,WGIII,IPCC Working Group III
SYR,6,WHO,World Health Organization
SYR,3,WIM,Warsaw International Mechanism on Loss and Damage under UNFCCC
SYR,1,Wm-2,Watts per square meter
WGI,1,20CR,20th Century Reanalysis
WGI,1,A1B,Special Report on Emissions Scenarios A1B scenario
WGI,2,AABW,Antarctic bottom water
WGI,1,AAIW,Antarctic intermediate water
WGI,2,AAO,Antarctic Oscillation
WGI,1,abrupt4xCO2,Scenario with abrupt quadrupling of the atmospheric concentration of carbon dioxide
WGI,2,ACC,Antarctic Circumpolar Current
WGI,2,ACCESS,Australian Community Climate and Earth System Simulator
WGI,2,ACCMIP,Atmospheric Chemistry and Climate Model Intercomparison Project
WGI,2,ACE,Accumulated Cyclone Energy
WGI,1,AED,atmospheric evaporative demand
WGI,2,AerChemMIP,Aerosols and Chemistry Model Intercomparison Project
WGI,1,AeroCom,Aerosol Comparisons between Observations and Models project
WGI,1,AERONET,Aerosol Robotic Network
WGI,1,AEW,African Easterly Wave
WGI,3,AF,airborne fraction of CO2
WGI,6,AFOLU,"agriculture, forestry and other land use"
WGI,2,AFR,Africa
WGI,2,AGAGE,Advanced Global Atmospheric Gases Experiment
WGI,2,AGCM,atmospheric global climate model
WGI,1,AGFP,absolute global forcing potential
WGI,1,AGR/ECOL,agriculture and ecological droughts
WGI,1,AGTP,absolute global temperature change potential
WGI,1,AGWP,absolute global warming potentials
WGI,1,AIRS,Atmospheric Infrared Sounder
WGI,2,AIS,Antarctic Ice Sheet
WGI,1,ALL,all forcings
WGI,3,ALT,active layer thickness
WGI,1,AMIP,Atmospheric Model Intercomparison Project
WGI,1,AMM,Atlantic Meridional Mode
WGI,1,AMMA,African Monsoon Multidisciplinary Analyses
WGI,4,AMO,Atlantic Multi-decadal Oscillation
WGI,4,AMOC,Atlantic Meridional Overturning Circulation
WGI,1,AMSU,Advanced Microwave Sounding Unit
WGI,2,AMV,Atlantic Multi-decadal Variability
WGI,1,AO,Arctic Oscillation
WGI,1,AOD,aerosol optical depth
WGI,3,AOGCM,atmosphere–ocean general circulation model
WGI,2,AP,Antarctic Peninsula
WGI,1,AQ,air quality
WGI,4,AR,atmospheric river
WGI,5,AR4,IPCC Fourth Assessment Report
WGI,7,AR5,IPCC Fifth Assessment Report
WGI,6,AR6,IPCC Sixth Assessment Report
WGI,1,ARO,Arctic Ocean
WGI,1,ARP,Arabian Peninsula
WGI,1,ARS,Arabian Sea
WGI,3,ASE,Amundsen Sea Embayment
WGI,1,AUS,Australasia
WGI,1,AusMCM,Australian–Maritime Continent monsoon
WGI,2,AVHRR,Advanced Very High Resolution Radiometer
WGI,1,AZM,Atlantic Zonal Modes
WGI,6,BC,black carbon
WGI,1,BCE,Before the Common Era
WGI,1,BCP,biological carbon pump
WGI,3,BE,Berkeley Earth
WGI,7,BECCS,bioenergy with carbon capture and storage
WGI,1,BOB,Bay of Bengal
WGI,1,BP,before the present
WGI,2,BrC,brown carbon
WGI,1,BSISO,boreal summer intra-seasonal oscillation
WGI,1,BU,bottom up
WGI,3,BVOC,biogenic volatile organic compound
WGI,1,C3S,Copernicus Climate Change Service
WGI,1,C4MIP,Coupled Climate Carbon Cycle Model Intercomparison Project
WGI,2,CAF,Central Africa
WGI,3,CAM,Central America
WGI,1,CAMS,Copernicus Atmosphere Monitoring Service
WGI,1,CanESM2,Canadian Earth System Model version 2
WGI,1,CanESM5,Canadian Earth System Model version 5
WGI,1,CAPE,convective available potential energy
WGI,3,CAR,Caribbean
WGI,1,CAU,Central Australia
WGI,1,CCM,chemistry–climate model
WGI,1,CCMI,Chemistry–Climate Modelling Initiative
WGI,2,CCN,cloud condensation nuclei
WGI,6,CCS,carbon dioxide capture and storage
WGI,4,CCT,cirrus cloud thinning
WGI,2,CD,cooling degree days
WGI,4,CDD,consecutive dry days
WGI,7,CDR,carbon dioxide removal
WGI,1,CDRMIP,Carbon Dioxide Removal Model Intercomparison Project
WGI,1,CDW,Circumpolar Deep Water
WGI,3,CE,Common Era
WGI,3,CEDS,Community Emissions Data System
WGI,1,CERES,Clouds and the Earth's Radiant Energy System
WGI,2,CESM,Community Earth System Model
WGI,3,CFCs,chlorofluorocarbons
WGI,1,CFMIP,Cloud Feedback Model Intercomparison Project
WGI,1,CFSR,Climate Forecast System Reanalysis
WGI,2,CGTP,combined global temperature change potential
WGI,5,CH4,methane
WGI,1,CICERO,Center for International Climate and Environment Research
WGI,3,CID,climatic impact-driver
WGI,1,CISM2,Community Ice Sheet Model 2
WGI,1,CLLJ,Caribbean low-level jet
WGI,1,CLSAT,China Land Surface Air Temperature
WGI,1,CMAP,NOAA Climate Prediction Center Merged Analysis of Precipitation
WGI,3,CMIP,Coupled Model Intercomparison Project
WGI,4,CMIP3,Coupled Model Intercomparison Project Phase 3
WGI,6,CMIP5,Coupled Model Intercomparison Project Phase 5
WGI,7,CMIP6,Coupled Model Intercomparison Project Phase 6
WGI,2,CNA,Central North America
WGI,2,CNRM,Centre National de la Recherche Météorologique
WGI,4,CO,carbon monoxide
WGI,5,CO2,carbon dioxide
WGI,3,CO2-eq,carbon dioxide equivalent
WGI,1,COBE,Centennial in situ Observation-Based Estimates of Sea Surface Temperature
WGI,3,CORDEX,Coordinated Regional Climate Downscaling Experiment
WGI,2,COSMO,Consortium for Small-scale Modeling
WGI,2,COVID-19,coronavirus disease of 2019
WGI,1,CP,Central Pacific
WGI,1,CPM,convection-permitting model
WGI,1,CRA,climate risk and adaptation assessment
WGI,1,CRE,cloud radiative effect
WGI,2,CRM,cloud resolving model
WGI,3,CRU,Climate Research Unit
WGI,2,CRUTEM,Climatic Research Unit gridded global historical near-surface air temperature dataset
WGI,1,CRUTS,Climatic Research Unit gridded time-series dataset
WGI,3,CSIRO,Commonwealth Scientific and Industrial Research Organisation
WGI,5,DACCS,direct air carbon capture with carbon storage
WGI,1,DAMIP,Detection and Attribution Model Intercomparison Project
WGI,1,DCPP,Decadal Climate Prediction Project
WGI,1,DECK,"Diagnostic, Evaluation and Characterization of Klima"
WGI,1,DeepMIP,Deep-Time Model Intercomparison Project
WGI,1,DF,drought frequency
WGI,3,DGVM,dynamic global vegetation model
WGI,1,DI,Drought Index
WGI,2,DIC,dissolved inorganic carbon
WGI,4,DJF,December–January–February
WGI,1,DJFM,December–January–February–March
WGI,1,DMS,dimethyl sulphide
WGI,1,DTR,diurnal temperature range
WGI,1,DU,Dobson Units
WGI,4,EAIS,East Antarctic Ice Sheet
WGI,1,EAN,East Antarctica
WGI,1,EAO,Equatorial Atlantic Ocean
WGI,2,EAS,East Asia
WGI,1,EAsiaM,East Asian monsoon
WGI,1,EASM,East Asian summer monsoon
WGI,1,EAU,Eastern Australia
WGI,1,EAWM,East Asian winter monsoon
WGI,1,EBAF,CERES Energy Balanced and Filled climate data record
WGI,2,EBM,Energy Balance Model
WGI,3,EBUS,Eastern boundary upwelling systems
WGI,3,ECMWF,European Centre for Medium-Range Weather Forecasts
WGI,4,ECS,equilibrium climate sensitivity
WGI,1,ECV,Essential Climate Variable
WGI,2,ECWL,Extreme Coastal Water Level
WGI,2,EDW,elevation-dependent warming
WGI,1,EECO,Early Eocene Climatic Optimum
WGI,2,EEU,Eastern Europe
WGI,1,EgC,exagrams of carbon (1000 petagrams of carbon)
WGI,1,EIO,Equatorial Indian Ocean
WGI,2,EMIC,Earth models of intermediate complexity
WGI,2,ENA,Eastern North America
WGI,5,ENSO,El Niño–Southern Oscillation
WGI,1,EOF,empirical orthogonal function
WGI,1,EOV,Essential Ocean Variable
WGI,2,EP,Eastern Pacific
WGI,3,EPA,USA Environmental Protection Agency
WGI,1,EPO,Equatorial Pacific Ocean
WGI,1,EqAmer,equatorial America
WGI,1,ERA-Interim,ECMWF global reanalysis
WGI,1,ERA20C,ECMWF 20th century reanalysis
WGI,1,ERA20CM,ECMWF 20th century atmospheric model ensemble
WGI,1,ERA5,ECMWF global reanalysis (replaces ERA-Interim)
WGI,3,ERF,effective radiative forcing
WGI,2,ERFaci,effective radiative forcing due to aerosol–cloud interactions
WGI,2,ERFari,effective radiative forcing due to aerosol–radiation interactions
WGI,1,ERSST,Extended Reconstructed Sea Surface Temperature
WGI,3,ESA,European Space Agency
WGI,3,ESA CCI,European Space Agency Climate Change Initiative
WGI,2,ESAF,East Southern Africa
WGI,1,ESB,East Siberia
WGI,1,ESGF,Earth System Grid Federation
WGI,5,ESL,extreme sea level
WGI,6,ESM,Earth system model
WGI,1,ESMValTool,Earth System Model Evaluation Tool
WGI,2,ESRL,NOAA Earth System Research Laboratory
WGI,2,ESWL,extreme still water levels
WGI,2,ET,evapotranspiration
WGI,3,ETC,extratropical cyclone
WGI,1,ETCCDI,Expert Team on Climate Change Detection and Indices
WGI,2,ETWL,Extreme Total Water Level
WGI,5,EU,European Union
WGI,5,FaIR,Finite Amplitude Impulse Response simple climate model
WGI,5,FAIR,"Findable, Accessible, Interoperable and Reusable principles"
WGI,1,FAPAR,fraction of absorbed photosynthetically active radiation
WGI,2,FAR,IPCC First Assessment Report
WGI,1,FD,frost days
WGI,1,FESOM,Finite Element Sea ice/Ice Shelf Ocean Model
WGI,2,FFDI,Forest Fire Danger Index
WGI,1,FOLU,forestry and other land use
WGI,1,fSST,fixed-sea surface temperature
WGI,5,GCM,general circulation model or global climate model
WGI,1,GCOS,Global Climate Observing System
WGI,4,GCP,Global Carbon Project
WGI,2,GDD,growing degree days
WGI,7,GDP,gross domestic product
WGI,1,GeoMIP,Geoengineering Model Intercomparison Project
WGI,2,GFCS,Global Framework for Climate Services
WGI,2,GFDL,NOAA Geophysical Fluid Dynamics Laboratory
WGI,2,GHCN,NOAA Global Historical Climatology Network
WGI,1,GHCNd,NOAA Global Historical Climatology Network daily database
WGI,1,GHCNv4,NOAA Global Historical Climatology Network monthly database version 4
WGI,6,GHG,greenhouse gas
WGI,3,GHM,global hydrological model
WGI,2,GIA,glacial isostatic adjustment
WGI,1,GIC,Greenland/Iceland
WGI,2,GISS,NASA Goddard Institute for Space Studies
WGI,3,GISTEMP,NASA Goddard Institute for Space Studies Surface Temperature Analysis
WGI,1,GlacierMIP,Glacier Model Intercomparison Project
WGI,1,GLDAS,Global Land Data Assimilation System
WGI,1,GloGEM,Global Glacier Evolution Model
WGI,4,GM,Global monsoon
WGI,1,GMMIP,Global Monsoons Model Intercomparison Project
WGI,5,GMSL,global mean sea level
WGI,5,GMST,global mean surface temperature
WGI,1,GMTSL,global mean thermosteric sea level
WGI,1,GNSS,Global Navigation Satellite System
WGI,1,GOME,Global Ozone Monitoring Experiment
WGI,1,GOSAT,Greenhouse Gases Observing Satellite
WGI,2,GPCC,Global Precipitation Climatology Centre
WGI,1,GPCP,Global Precipitation Climatology Project
WGI,1,GPM,Global Precipitation Mission
WGI,2,GPS,Global Positioning System
WGI,3,GRACE,Gravity Recovery and Climate Experiment
WGI,2,GRD,"gravitational, rotational and deformational"
WGI,1,GrIS,Greenland Ice Sheet
WGI,4,GSAT,global surface air temperature
WGI,1,GSMaP,Global Satellite Mapping of Precipitation dataset
WGI,1,GtC,gigatonnes of carbon
WGI,1,GtCO2,gigatonnes of carbon dioxide
WGI,3,GTP,global temperature change potential
WGI,3,GWL,global warming level
WGI,6,GWP,global warming potential
WGI,2,HadCRUT,Hadley Centre Climatic Research Unit gridded surface temperature dataset
WGI,1,HadEX3,Hadley Centre gridded land surface extremes indices
WGI,2,HadGEM,Hadley Centre Global Environment Model
WGI,1,HadISST,Hadley Centre Ice and Sea Surface Temperature dataset
WGI,1,HadSST,Hadley Centre Sea Surface Temperature dataset
WGI,1,HC,Hadley circulation
WGI,1,HCFC,hydrochlorofluorocarbon
WGI,1,HD,heating degree days
WGI,4,HFC,hydrofluorocarbon
WGI,1,HI,heat index
WGI,1,HighResMIP,High Resolution Model Intercomparison Project
WGI,3,HKH,Hindu Kush Himalaya
WGI,1,HNO3,nitric acid
WGI,1,IAGOS,In-service Aircraft for a Global Observing System
WGI,4,IAM,integrated assessment model
WGI,2,ICE,initial condition ensemble
WGI,1,ICESat,"Ice, Cloud and land Elevation Satellite"
WGI,1,ICOADS,International Comprehensive Ocean–Atmosphere Data Set
WGI,1,IMBIE,Ice Sheet Mass Balance Intercomparison Exercise
WGI,1,INP,ice nucleating particle
WGI,1,IOB,Indian Ocean Basin
WGI,4,IOD,Indian Ocean Dipole
WGI,5,IPBES,Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services
WGI,6,IPCC,Intergovernmental Panel on Climate Change
WGI,4,IPO,Inter-decadal Pacific Oscillation
WGI,2,IPSL,Institut Pierre-Simon Laplace
WGI,1,IRF,instantaneous radiative forcing
WGI,1,IRFaci,Instantaneous radiative forcing (or effect) due to aerosol-cloud interactions
WGI,1,IRFari,Instantaneous radiative forcing (or effect) due to aerosol–radiation interactions
WGI,3,ISIMIP,Inter-Sectoral Impact Model Intercomparison Project
WGI,2,ITCZ,Inter-tropical Convergence Zone
WGI,4,ITF,Indonesian throughflow
WGI,1,JAS,July–August–September
WGI,1,JAXA,Japan Aerospace Exploration Agency
WGI,4,JJA,June–July–August
WGI,1,JJAS,June–July–August–September
WGI,2,JMA,Japan Meteorological Agency
WGI,2,JRA-55,Japanese 55-year Reanalysis
WGI,3,LAI,leaf area index
WGI,1,LAP,light-absorbing particle
WGI,1,LARMIP,Linear Antarctic Response Model Intercomparison Project
WGI,1,LDT,Last deglacial transition
WGI,1,LEO,low Earth orbit
WGI,3,LGM,Last Glacial Maximum
WGI,4,LIG,Last Interglacial
WGI,1,LLGHG,long-lived greenhouse gas
WGI,1,LLHI,"Low-likelihood, high-impact"
WGI,1,LNOx,lightning NOx
WGI,1,LR,lapse rate
WGI,2,LSAT,land surface air temperature
WGI,5,LUC,land-use change
WGI,6,LULUCF,"land use, land-use change and forestry"
WGI,1,LW,longwave
WGI,1,LWP,liquid water path
WGI,1,LWS,land-water storage
WGI,3,MAGICC,Model for the Assessment of Greenhouse Gas Induced Climate Change
WGI,3,MAM,March–April–May
WGI,1,MAT,marine air temperature
WGI,4,MCB,marine cloud brightening
WGI,1,MCO,Miocene Climatic Optimum
WGI,2,MCS,mesoscale convective system
WGI,2,MDG,Madagascar
WGI,4,MED,Mediterranean
WGI,2,MENA,Middle East North Africa
WGI,1,MERRA,Modern-Era Retrospective Analysis for Research and Applications
WGI,1,METACLIP,Metadata for climate products project
WGI,1,MH,mid-Holocene
WGI,3,MHW,marine heatwave
WGI,2,MICI,marine ice cliff instability
WGI,2,MIP,Model Intercomparison Project
WGI,2,MIROC,Model for Interdisciplinary Research on Climate
WGI,2,MIS,Marine Isotope Stage
WGI,4,MISI,marine ice sheet instability
WGI,1,MISMIP,Marine Ice Sheet Model Intercomparison Projects
WGI,1,MJO,Madden–Julian Oscillation
WGI,1,MLO,Mauna Loa Observatory
WGI,1,MME,multi-model ensemble
WGI,2,MOC,meridional overturning circulation
WGI,3,MODIS,Moderate Resolution Imaging Spectroradiometer
WGI,3,MPI,Max Planck Institute for Meteorology
WGI,3,MPWP,mid-Pliocene Warm Period
WGI,2,MRI,"Meteorological Research Institute, Japan Meteorological Agency"
WGI,1,MSD,midsummer drought
WGI,1,MTFR,maximum technically feasible reductions
WGI,5,N2O,nitrous oxide
WGI,2,NADW,North Atlantic Deep Water
WGI,1,NAM,Northern Annular Mode
WGI,1,NAmerM,North American monsoon
WGI,3,NAO,North Atlantic Oscillation
WGI,1,NARCCAP,North American Regional Climate Change Assessment Program
WGI,2,NASA,USA National Aeronautics and Space Administration
WGI,1,NASH,North Atlantic Subtropical High
WGI,2,NAU,Northern Australia
WGI,1,NBP,Net Biome Productivity
WGI,1,NCA,Northern Central America
WGI,2,NCAR,National Center for Atmospheric Research
WGI,2,NCEI,NOAA National Centers for Environmental Information
WGI,2,NCEP,NOAA National Centers for Environmental Prediction
WGI,6,NDC,Nationally Determined Contribution
WGI,1,NDD,number of dry days
WGI,3,NDVI,Normalized Difference Vegetation Index
WGI,1,NEAF,North Eastern Africa
WGI,1,NEN,North-Eastern North America
WGI,1,NES,North-Eastern South America
WGI,3,NEU,Northern Europe
WGI,1,NH,Northern Hemisphere
WGI,3,NH3,ammonia
WGI,1,NH4,ammonium
WGI,1,NMAT,nighttime marine air temperature
WGI,3,NMVOC,non-methane volatile organic compound
WGI,1,NO2,nitrogen dioxide
WGI,1,NO3,nitrate
WGI,5,NOAA,USA National Oceanic and Atmospheric Administration
WGI,1,NOAAGlobalTemp,NOAA Merged Land Ocean Global Surface Temperature Analysis
WGI,2,NorESM,Norwegian Earth System Model
WGI,2,NOx,nitrogen oxides
WGI,1,NPO,North Pacific Ocean
WGI,5,NPP,net primary production
WGI,2,NSA,Northern South America
WGI,1,NWN,North-Western North America
WGI,2,NWS,North-Western South America
WGI,2,NZ,New Zealand
WGI,5,OA,organic aerosols
WGI,3,OC,organic carbon
WGI,2,ODS,ozone depleting substances
WGI,5,OECD,Organisation for Economic Co-operation and Development
WGI,2,OH,hydroxyl radical
WGI,2,OHC,ocean heat content
WGI,1,OLR,outgoing longwave radiation
WGI,2,OLS,ordinary least squares
WGI,1,OMI,Ozone Monitoring Instrument
WGI,1,OMIP,Ocean Model Intercomparison Project
WGI,3,PA,Paris Agreement
WGI,1,PAGES 2K,Past Global Changes 2k consortium
WGI,1,PC,principal component
WGI,2,pCO2,partial pressure of CO2
WGI,3,PDO,Pacific Decadal Oscillation
WGI,3,PDSI,Palmer Drought Severity Index
WGI,1,PDV,Pacific Decadal Variability
WGI,1,PERSIANN-CDR,Precipitation estimations from Remotely Sensed Information using Artificial Neural Networks Climate Data Record
WGI,1,PETM,Paleocene–Eocene Thermal Maximum
WGI,1,PgC,petagrams of carbon
WGI,1,PgCeq,petagrams of carbon equivalent
WGI,1,PlioMIP,Pliocene Model Intercomparison Project
WGI,5,PM,particulate matter
WGI,2,PM10,particulate matter with diameter of less than 10 microns
WGI,3,PM2.5,particulate matter with diameter of less than 2.5 microns
WGI,1,PMIP,Paleoclimate Modelling Intercomparison Project
